RK,Team,Total Points,Previous Points,Difference,Confederation
18,Japan,1621.88,1614.33,7.55,AFC
20,IR Iran,1613.96,1608.23,5.73,AFC
23,Korea Republic,1563.99,1566.21,-2.22,AFC
24,Australia,1563.93,1554.82,9.11,AFC
34,Qatar,1507.94,1499.34,8.6,AFC
53,Saudi Arabia,1443.53,1441.4,2.13,AFC
58,Iraq,1420.47,1409.44,11.03,AFC
64,Uzbekistan,1386.58,1376.5,10.08,AFC
67,United Arab Emirates,1366.45,1355.55,10.9,AFC
71,Jordan,1350.21,1343.6,6.61,AFC
77,Oman,1323.23,1307.6,15.63,AFC
80,Bahrain,1307.53,1297.32,10.21,AFC
88,China PR,1275.22,1273.78,1.44,AFC
89,Syria,1266.52,1265.51,1.01,AFC
93,Palestine,1238.66,1227.2,11.46,AFC
99,Tajikistan,1216.76,1218.89,-2.13,AFC
100,Kyrgyz Republic,1213.6,1196.97,16.63,AFC
101,Thailand,1208.93,1206.72,2.21,AFC
115,Vietnam,1164.54,1194.58,-30.04,AFC
118,Korea DPR,1160.57,1168.12,-7.55,AFC
120,Lebanon,1158.96,1168.07,-9.11,AFC
121,India,1145.94,1165.17,-19.23,AFC
134,Indonesia,1102.7,1072.66,30.04,AFC
138,Malaysia,1094.54,1110.17,-15.63,AFC
139,Kuwait,1085.46,1094.05,-8.59,AFC
141,Philippines,1075.14,1086.17,-11.03,AFC
143,Turkmenistan,1072.52,1078.25,-5.73,AFC
151,Afghanistan,1036.92,1017.68,19.24,AFC
155,Singapore,1019.06,1020.5,-1.44,AFC
156,Yemen,1017.05,1027.94,-10.89,AFC
157,"Hong Kong, China",1012.83,1022.91,-10.08,AFC
159,Chinese Taipei,1007.3,1023.93,-16.63,AFC
161,Maldives,1003.48,1003.48,-,AFC
163,Myanmar,999.46,1000.46,-1,AFC
178,Nepal,937.84,948.05,-10.21,AFC
179,Cambodia,925.4,931.47,-6.07,AFC
184,Bangladesh,905.3,916.75,-11.45,AFC
185,Bhutan,904.1,913.02,-8.92,AFC
186,Macau,896.62,896.62,-,AFC
190,Laos,889.62,889.62,-,AFC
191,Mongolia,884.04,889.16,-5.12,AFC
194,Brunei Darussalam,872.65,870.63,2.02,AFC
195,Pakistan,849.94,856.54,-6.6,AFC
198,Timor-Leste,843.4,843.4,-,AFC
204,Sri Lanka,829.41,822.03,7.38,AFC
205,Guam,821.91,821.91,-,AFC
13,Morocco,1661.42,1663.39,-1.97,CAF
17,Senegal,1624.73,1620.74,3.99,CAF
30,Nigeria,1520.27,1522.26,-1.99,CAF
37,Egypt,1499.72,1500.38,-0.66,CAF
38,Côte d'Ivoire,1498.8,1494.57,4.23,CAF
41,Tunisia,1493.12,1491.15,1.97,CAF
43,Algeria,1482.71,1480.24,2.47,CAF
44,Mali,1477.9,1469.81,8.09,CAF
51,Cameroon,1452.59,1452.59,-,CAF
59,South Africa,1407.67,1410.23,-2.56,CAF
62,Burkina Faso,1390.38,1399.92,-9.54,CAF
63,Congo DR,1388.25,1388.25,-,CAF
65,Cabo Verde,1383.44,1377.06,6.38,CAF
68,Ghana,1358.77,1363.42,-4.65,CAF
76,Guinea,1324.65,1320.42,4.23,CAF
79,Equatorial Guinea,1308.03,1310.5,-2.47,CAF
84,Gabon,1287.33,1289.52,-2.19,CAF
86,Zambia,1278.26,1275.71,2.55,CAF
92,Uganda,1242.15,1246.88,-4.73,CAF
94,Angola,1235.76,1238.11,-2.35,CAF
97,Benin,1225.68,1225.1,0.58,CAF
105,Mauritania,1195.5,1194.48,1.02,CAF
106,Namibia,1192.13,1192.13,-,CAF
107,Kenya,1191.24,1181.92,9.32,CAF
109,Madagascar,1185.86,1187.63,-1.77,CAF
110,Mozambique,1184.49,1184.49,-,CAF
111,Congo,1179.8,1179.8,-,CAF
113,Togo,1170.34,1165.74,4.6,CAF
114,Libya,1166.71,1159.51,7.2,CAF
116,Guinea-Bissau,1163.44,1164.01,-0.57,CAF
117,Comoros,1163.02,1156.45,6.57,CAF
119,Tanzania,1159.81,1160.98,-1.17,CAF
122,Zimbabwe,1143.66,1144.56,-0.9,CAF
125,Malawi,1140.93,1149.4,-8.47,CAF
126,Sierra Leone,1137.36,1137.36,-,CAF
127,Sudan,1129.32,1128.74,0.58,CAF
128,Central African Republic,1128.17,1121.34,6.83,CAF
129,Niger,1125.5,1127.75,-2.25,CAF
130,The Gambia,1114.8,1114.8,-,CAF
131,Rwanda,1112.44,1107.04,5.4,CAF
140,Burundi,1081.63,1085.83,-4.2,CAF
145,Ethiopia,1068.48,1068.79,-0.31,CAF
146,Botswana,1065.07,1064.5,0.57,CAF
148,Eswatini,1048.89,1045.88,3.01,CAF
149,Lesotho,1047.58,1047.27,0.31,CAF
152,Liberia,1029.58,1024.11,5.47,CAF
167,South Sudan,984.65,989.29,-4.64,CAF
176,Chad,945.92,920.37,25.55,CAF
183,Mauritius,919.4,944.95,-25.55,CAF
188,São Tomé and Príncipe,893.58,888.94,4.64,CAF
192,Djibouti,877.28,882.76,-5.48,CAF
197,Seychelles,845.53,845.53,-,CAF
199,Somalia,842.64,845.66,-3.02,CAF
11,USA,1681.13,1661.7,19.43,CONCACAF
14,Mexico,1661.11,1652.7,8.41,CONCACAF
45,Panama,1475.62,1475.62,-,CONCACAF
49,Canada,1461.16,1453.76,7.4,CONCACAF
52,Costa Rica,1445.38,1437.57,7.81,CONCACAF
55,Jamaica,1435.33,1421.54,13.79,CONCACAF
81,El Salvador,1305.02,1306.14,-1.12,CONCACAF
82,Honduras,1301.92,1311.43,-9.51,CONCACAF
90,Haiti,1262.5,1262.5,-,CONCACAF
91,Curaçao,1262.48,1262.48,-,CONCACAF
98,Trinidad and Tobago,1220.65,1228.05,-7.4,CONCACAF
108,Guatemala,1188.28,1188.17,0.11,CONCACAF
135,Nicaragua,1102.54,1104.26,-1.72,CONCACAF
142,Antigua and Barbuda,1072.66,1072.66,-,CONCACAF
144,Suriname,1071.85,1071.85,-,CONCACAF
147,St Kitts and Nevis,1056.61,1057.05,-0.44,CONCACAF
150,Dominican Republic,1042.86,1040.77,2.09,CONCACAF
154,Guyana,1020.31,1018.14,2.17,CONCACAF
160,Puerto Rico,1006.35,1007.19,-0.84,CONCACAF
165,St Lucia,988.67,988.67,-,CONCACAF
169,Cuba,980.65,980.65,-,CONCACAF
170,Bermuda,974.3,972.36,1.94,CONCACAF
173,St Vincent and the Grenadines,953.47,953.47,-,CONCACAF
174,Grenada,950.99,950.99,-,CONCACAF
175,Montserrat,946.08,946.08,-,CONCACAF
177,Barbados,943.8,943.8,-,CONCACAF
180,Dominica,922.25,922.25,-,CONCACAF
182,Belize,919.52,918.68,0.84,CONCACAF
193,Aruba,875.82,879.32,-3.5,CONCACAF
196,Cayman Islands,847.81,851.19,-3.38,CONCACAF
200,Bahamas,835.81,835.81,-,CONCACAF
206,Turks and Caicos Islands,817.03,818.57,-1.54,CONCACAF
207,British Virgin Islands,813.31,807.57,5.74,CONCACAF
208,US Virgin Islands,797.29,796.78,0.51,CONCACAF
209,Anguilla,793.48,785.69,7.79,CONCACAF
1,Argentina,1858.0,1855.2,2.8,CONMEBOL
5,Brazil,1788.65,1784.09,4.56,CONMEBOL
12,Colombia,1664.28,1655.29,8.99,CONMEBOL
15,Uruguay,1659.39,1665.99,-6.6,CONMEBOL
31,Ecuador,1518.22,1519.2,-0.98,CONMEBOL
32,Peru,1515.82,1512.68,3.14,CONMEBOL
42,Chile,1491.71,1489.82,1.89,CONMEBOL
54,Venezuela,1442.29,1447.2,-4.91,CONMEBOL
56,Paraguay,1430.73,1430.73,-,CONMEBOL
85,Bolivia,1283.88,1284.55,-0.67,CONMEBOL
104,Aotearoa New Zealand,1197.68,1197.47,0.21,OFC
132,Solomon Islands,1111.02,1113.57,-2.55,OFC
158,New Caledonia,1008.92,1008.92,-,OFC
162,Tahiti,999.48,999.48,-,OFC
166,Papua New Guinea,985.32,990.61,-5.29,OFC
168,Fiji,983.81,981.26,2.55,OFC
172,Vanuatu,972.14,980.33,-8.19,OFC
181,Samoa,920.54,896.78,23.76,OFC
187,Cook Islands,896.59,897.3,-0.71,OFC
189,American Samoa,890.97,890.97,-,OFC
201,Tonga,833.12,856.18,-23.06,OFC
2,France,1840.59,1845.44,-4.85,UEFA
3,Belgium,1795.23,1798.46,-3.23,UEFA
4,England,1794.9,1800.05,-5.15,UEFA
6,Portugal,1748.11,1745.06,3.05,UEFA
7,Netherlands,1742.29,1745.48,-3.19,UEFA
8,Spain,1727.5,1732.64,-5.14,UEFA
9,Italy,1724.6,1718.82,5.78,UEFA
10,Croatia,1721.07,1717.57,3.5,UEFA
16,Germany,1644.21,1631.22,12.99,UEFA
19,Switzerland,1616.41,1613.44,2.97,UEFA
21,Denmark,1602.72,1601.31,1.41,UEFA
22,Ukraine,1568.86,1553.35,15.51,UEFA
25,Austria,1554.86,1546.1,8.76,UEFA
26,Hungary,1532.2,1525.13,7.07,UEFA
27,Sweden,1531.68,1531.13,0.55,UEFA
28,Poland,1531.49,1520.24,11.25,UEFA
29,Wales,1531.38,1521.88,9.5,UEFA
33,Serbia,1514.2,1517.43,-3.23,UEFA
35,Russia,1504.02,1498.84,5.18,UEFA
36,Czechia,1501.47,1494.04,7.43,UEFA
39,Scotland,1497.46,1506.89,-9.43,UEFA
40,Turkey,1495.94,1505.28,-9.34,UEFA
46,Romania,1468.17,1472.73,-4.56,UEFA
47,Norway,1467.51,1472.36,-4.85,UEFA
48,Slovakia,1461.55,1465.73,-4.18,UEFA
50,Greece,1457.89,1453.95,3.94,UEFA
57,Slovenia,1427.84,1431.4,-3.56,UEFA
60,Republic of Ireland,1399.74,1399.6,0.14,UEFA
61,Finland,1394.44,1401.31,-6.87,UEFA
66,Albania,1375.1,1382.69,-7.59,UEFA
69,North Macedonia,1354.19,1362.17,-7.98,UEFA
70,Montenegro,1351.72,1342.64,9.08,UEFA
72,Iceland,1346.82,1342.57,4.25,UEFA
73,Northern Ireland,1341.05,1333.17,7.88,UEFA
74,Bosnia and Herzegovina,1335.6,1343.32,-7.72,UEFA
75,Georgia,1333.76,1312.45,21.31,UEFA
78,Israel,1311.39,1323.43,-12.04,UEFA
83,Bulgaria,1292.59,1289.9,2.69,UEFA
87,Luxembourg,1277.94,1285.41,-7.47,UEFA
95,Armenia,1229.18,1237.15,-7.97,UEFA
96,Belarus,1226.54,1232.8,-6.26,UEFA
102,Kosovo,1205.85,1202.77,3.08,UEFA
103,Kazakhstan,1203.64,1215.16,-11.52,UEFA
112,Azerbaijan,1177.83,1174.22,3.61,UEFA
123,Estonia,1141.13,1148.76,-7.63,UEFA
124,Cyprus,1141.03,1143.42,-2.39,UEFA
133,Faroe Islands,1103.43,1102.1,1.33,UEFA
136,Latvia,1095.91,1097.84,-1.93,UEFA
137,Lithuania,1095.23,1086.93,8.3,UEFA
153,Moldova,1028.85,1022.6,6.25,UEFA
164,Andorra,998.75,998.0,0.75,UEFA
171,Malta,973.14,967.29,5.85,UEFA
202,Liechtenstein,832.75,833.01,-0.26,UEFA
203,Gibraltar,832.5,840.8,-8.3,UEFA
210,San Marino,742.05,741.61,0.44,UEFA
